Brand,Delivery,Returns
zara,Delivery Charges: Rs. 290;Free over Rs 2990;Delivery in 2-8 days,30 days;Brand pickup: Rs.100;Refund in bank a/c
hnm,Delivery Charges: Rs. 149;Free over Rs 1999;Delivery in 2-7 days,15 days;Brand pickup; Refund in bank a/c
uniqlo,Delivery Charges: Rs 250;Free over 2999;Delivery in 2-5 days,30 days;Brand pickup: Rs.50;Refund in bank a/c
mango,Delivery Charges: Rs. 790;Free over Rs. 6500; Delivery in 6-8 days,60 days; Brand pickup; Refund in bank a/c
marks-and-spencer,Delivery Charges: Rs. 99;Free over Rs 999;Delivery in 7 days,35 days;Brand pickup;Refund in bank a/c
vero-moda,Delivery Charges: Rs.99;Free over Rs. 1299; Delivery in 5-10 days,15 days;Brand pickup; Refund in bank a/c
celio,Delivery Charges: Rs. 50;Free over Rs. 1000;Delivery in 2-5 days,15 days;Brand pickup;Refund in bank a/c
forever21,Free shipping;Delivery in 5-10 days,30 days;Brand pickup;Refund in bank a/c
nike,Delivery charges: Rs.1250;Delivery in 6-9 days,30 days;Brand pickup;Refund in bank a/c
adidas,Free shipping;Delivery in 2-5 days,30 days;Brand pickup;Refund in bank a/c
and-fashion,Delivery Charges: Rs.100;Free over 1499;Delivery in 4-5 days,7 days;Brand pickup;Refund in bank a/c
westside,Free Shipping;Delivery in 5-7 days,30 days;Brand pickup;Refund in bank a/c
jack-and-jones,Delivery charges: Rs. 99;Free over Rs. 2499;Delivery in 5-10 days,15 days;Brand pickup;Refund in bank a/c
fabindia,Delivery charges: Rs. 99;Free over 1000;Delivery in 3-7 days,30 days;Brand pickup;Refund in bank a/c
levis,Delivery charges: Rs.100;Free over 999;Delivery in 2-5 days,30 days;Brand pickup;Refund in bank a/c
aarke,Delivery charges: Rs. 99;Free over 1500;Delivery in 5-10 days,7 days;Brand pickup;Refund in bank a/c
nicobar,Free shipping over 1000;Delivery in 5-7 days,15 days;Brand pickup;Refund as store credit
andamen,Free shipping;Delivery in 2-5 days,60 days;Brand pickup;Refund in bank a/c
bliss-club,Free shipping;Delivery in 2-5 days,14 days;Brand pickup;Refund in bank a/c
mulmul,Delivery Charges: Rs 99;Free over Rs. 5000;Delivery in 4-5 days,7 days return;Self-ship;Refund in bank a/c
rareism,Delivery Charges: Rs 200;Free over Rs. 1500;Delivery in 7-10 days,7 days - non sale;Brand pickup;Refund in bank a/c
biba,Free shipping;Delivery in 2-3 days,15 days;Brand pickup;Refund in bank a/c
rare-rabbit,Delivery Charges: Rs 50;Free over Rs. 2500;Delivery in 7-10 days,7 days;Brand pickup;Refund in bank a/c
suta,Delivery charges: Rs.150;Free shipping over 1950;Delivery in 5-6 days,10 days;Brand pickup;Refund in bank a/c
souled-store,Delivery charges: Rs. 50;Free over 450;Delivery in 1-4 days,30 days;Brand pickup;Refund in bank a/c
fable-street,Delivery Charges: Rs. 95;Free over Rs. 1000;Delivery in 3-10 days,7 days;Brand pickup;Refund in bank a/c
bombay-shirt-company,Free Shipping;Delivery in 10-15 days,30 days return;Brand pickup;Refund in bank a/c
marchtee,Delivery Charges: Rs.120;Delivery in 5 days,14 days - non sale;Brand pickup;Refund in bank a/c
urbanic,Delivery charges: Rs. 99;Free over 990;Delivery in 10-15 days,10 days;Brand pickup;Refund in bank a/c
freakins,Free shipping;Delivery in 2-5 days,14 days: non sale;Brand pickup;Refund in bank a/c
aristobrat,Free Shipping;Delivery in 2-5 days,14 days;Brand pickup;Refund in bank a/c
swtantra,Delivery Charges: Rs. 180;Free over Rs 2000;Delivery in 2-7 days,2 days - defects only;Brand pickup;Refund as store credits
jaypore,Delivery Charges: Rs 100;Free over Rs. 999;Delivery in  7-10 days,10 days return;Brand pickup;Refund in bank a/c
true-browns,Free shipping;Delivery in 3-7 days,7 days - non sale;Brand pickup;Refund in bank a/c
okhai,Delivery charges: Rs. 100;Free over Rs.4999;Delivery in 2-5 days,30 days;Brand pickup;Refund in bank a/c
no-nasties,Delivery charges: Rs. 100;Free over Rs.3000;Delivery in 3-7 days,30 days;Brand pickup;Refund as store credit
woman-like-u,Free shipping;Delivery in 4-7 days,2 days - exchange only;Brand pickup
nefs-finds,Delivery Charges: Rs. 100;Delivery in 7-14 days,1 day;Brand pickup;Refund as store credit
exhale-label,Free shipping;Delivery in 10-13 days,7 days - only exchanges;Self-ship;Refund as store credit
torqadorn,Free shipping;Delivery in 7-15 days,2 days;Brand pickup: Rs. 100;Refund as store credit
saadaa,Free shipping;Delivery in 3-7 days,7 days;Brand pickup;Refund in bank a/c
cava-athleisure,Free shipping;Delivery in 3-7 days,15 days - non sale;Brand pickup;Refund as store credit
karagiri,Free Shipping;Delivery in 7-10 days,"2 days return, 10 days exchange;Brand pickup;Refund in bank a/c"
tasva,Free Shipping;Delivery in 7-10 days,7 days;Brand pickup;Refund in bank a/c
kalki,Free shipping;Delivery in 3-7 days,2 days;Brand pickup;Refund in bank a/c
beach-company,Delivery charges: Rs. 80;Free over 1000;Delivery in 7-10 days,10 days exchange;Refund as store credit
creatures-of-habit,Free Shipping;Delivery in 7-10 days,14 days;Brand pickup;Refund in bank a/c
old-marigold,Delivery charges: Rs. 50;Delivery in 10-12 days,2 days - exchanges only;Self Ship
american-eagle,Free Shipping;Delivery in 2-5 days,30 days;Brand pickup;Refund in bank a/c
united-colors-of-benetton,Free Shipping;Delivery in 7 days,30 days;Brand pickup;Refund in bank a/c
forever-new,Free Shipping;Delivery in 5-7 days,15 days;Brand pickup;Refund in bank a/c
house-of-chikankari,Free Shipping;Delivery in 3-7 days,7 days;Brand pickup;Refund in bank a/c
only,Delivery charges: Rs. 99;Free over 2499;Delivery in 5-10 days,15 days;Brand pickup;Refund in bank a/c
cover-story,Free Shipping;Delivery in 3-7 days,30 days;Brand pickup;Refund in bank a/c
cottonworld,Free Shipping over 999;Delivery in 7-10 days,30 days;Brand pickup;Refund in bank a/c
globaldesi,Free Shipping over 1499;Delivery in 4-5 days,30 days;Brand pickup;Refund in bank a/c
label-life,Free Shipping;Delivery in 3-10 days,15 days;Brand pickup;Refund in bank a/c
urban-monkey,Free Shipping;Delivery in 2-7 days,7 days;Brand pickup;Refund in bank a/c
goya-swim,Free Shipping;Delivery in 3-5 days,30 days;Self ship;Refund in bank a/c
gap,Free Shipping over 799;Delivery in 3-7 days,10 days;Brand pickup;Refund in bank a/c
uptownie,Free Shipping;Delivery in 4-7 days,15 days;Brand pickup;Refund as store credit
ancestry,Free Shipping;Delivery in 2-11 days,15 days;Brand pickup;Refund in bank a/c
why-so-blue-love,Delivery charges: Rs. 150;Free over 2000;Delivery in 5-10 days,3 days;Self ship;Refund as store credit
pause,Free Shipping;Delivery in 2-3 days,15 days;Brand pickup;Refund in bank a/c
saphed,Free Shipping;Delivery in 7-10 days,30 days exchange
rustorange,Delivery charges: Rs.50;Free over 1200;Delivery in 3-7 days,7 days;Brand pickup;Refund in bank a/c
urban-suburban,Delivery charges: Rs.150;Free over 6500;Delivery in 15-20 days,7 days;Self ship;Refund as store credit
qua,Free Shipping;Delivery in 4-5 days,7 days;Brand pickup;Refund in bank a/c
amrapali-boutique,Free Shipping;Delivery in 3-10 days,3 days;Paid brand pickup;Refund in bank a/c
